channel_id,channel_name,priority_score,simulated_tier,recent_video_count_48h,recent_video_count_7d,ranking_count_7d,ranking_count_30d,estimated_daily_refreshes,estimated_weekly_refreshes,risk_flag,reason_summary
UCRmLuC5DGnSa5gH1lkgaBEA,UCRmLuC5DGnSa5gH1lkgaBEA,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCgt9elgH7pg4jGNOl_4ox-A,UCgt9elgH7pg4jGNOl_4ox-A,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; no_upload_14d; growth_7d_lt_10000
UCqiAhrMh4G8v94Hk85S2Glg,UCqiAhrMh4G8v94Hk85S2Glg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCDzw9eaZcx8er7aaHLErbbQ,UCDzw9eaZcx8er7aaHLErbbQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCxHNrkV8HnoTYPjjFZGaVdg,UCxHNrkV8HnoTYPjjFZGaVdg,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCeS1mevEBblI-RPx8YxXivw,UCeS1mevEBblI-RPx8YxXivw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCrbkwXQqptpXVH8TTm_HAww,UCrbkwXQqptpXVH8TTm_HAww,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCQB1zRKUnC0j1WUdhw06_KA,UCQB1zRKUnC0j1WUdhw06_KA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC_a5XYtikhwaXbGSAQiGRZw,UC_a5XYtikhwaXbGSAQiGRZw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCr2JtQ2Vjh3z22eF5I8bpiQ,UCr2JtQ2Vjh3z22eF5I8bpiQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCo4rAMWNOAvK3dpRpvnT2gA,UCo4rAMWNOAvK3dpRpvnT2gA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC1B15OfZhtEczyS_k-tykVQ,UC1B15OfZhtEczyS_k-tykVQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCn9dBCXDzq9eAXQDLOcUitA,UCn9dBCXDzq9eAXQDLOcUitA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC6JitqZzD5SowjhmMDg6u2g,UC6JitqZzD5SowjhmMDg6u2g,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCAvE0oxOXij8iBwju-DhYVg,UCAvE0oxOXij8iBwju-DhYVg,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC1GQB6OqVMoFlHhQ9AagtqA,UC1GQB6OqVMoFlHhQ9AagtqA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC69B-jgk1VRUJ7v3uBUqGVA,UC69B-jgk1VRUJ7v3uBUqGVA,20,active,0,0,0,12,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000; observation_sufficient
